,Question,Answers,results,answer
0,ROUND ONE: General Knowledge. How many countries are part of the European Union?,"['20 ', '13 ', '27 ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer'], ['wpvq-answer', 'wpvq-answer-true']]",27 
1,What is the Guinness World Record for the oldest person ever to have lived?,"['134 years ', '105 years ', '122 years ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer'], ['wpvq-answer', 'wpvq-answer-true']]",122 years 
2,Which of these social media platforms was launched most recently?,"['Snapchat ', 'Instagram ', 'Twitter ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",Snapchat 
3,What vegetable do Americans call 'zucchini'?,"['Courgette ', 'Cucumber ', 'Sweet potato ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",Courgette 
4,How many planets make up our solar system?,"['8 ', '6 ', '10 ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",8 
5,ROUND TWO: Sport. What is the name of the new cricket tournament currently taking place in England and Wales?,"['The Million ', 'The Thousand ', 'The Hundred ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer'], ['wpvq-answer', 'wpvq-answer-true']]",The Hundred 
6,The Sheffield Steelers and the Nottingham Panthers compete in which sport?,"['Basketball ', 'Ice hockey ', 'Rugby League ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer', 'wpvq-answer-true'], ['wpvq-answer']]",Ice hockey 
7,How many London-based teams will be taking part in the 2021-22 Premier League season?,"['7 ', '6 ', '8 ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",7 
8,Where were the last Winter Olympics held?,"['Pyeongchang, South Korea ', 'Sochi, Russia ', 'Oslo, Norway ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]","Pyeongchang, South Korea "
9,Which country are the British and Irish Lions currently touring?,"['New Zealand ', 'Australia ', 'South Africa ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer'], ['wpvq-answer', 'wpvq-answer-true']]",South Africa 
10,ROUND THREE: Star Wars. Which of these is NOT a droid in the Star Wars films?,"['R2-D2 ', 'BB-8 ', 'C1-TV ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer'], ['wpvq-answer', 'wpvq-answer-true']]",C1-TV 
11,How many times is the line 'May the force be with you' said in the Star Wars films?,"['64 ', '44 ', '24 ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer'], ['wpvq-answer', 'wpvq-answer-true']]",24 
12,What year was the first Star Wars movie released?,"['1971 ', '1986 ', '1977 ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer'], ['wpvq-answer', 'wpvq-answer-true']]",1977 
13,What is the name of Han Solo's famous ship?,"['The Maltese Falcon ', 'The Millenium Dome ', 'The Millenium Falcon ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer'], ['wpvq-answer', 'wpvq-answer-true']]",The Millenium Falcon 
14,How many digits does Yoda have on each hand?,"['Three ', 'Two ', 'Four ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",Three 
15,"ROUND FOUR: Guess the flag. Straightforward, pure, classic quizzing - here's a flag, guess the country it belongs to. Here's the first one...","['Belgium ', 'Germany ', 'Netherlands ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",Belgium 
16,Which country's flag is this?,"['Austria ', 'Poland ', 'Russia ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",Austria 
17,Heading to the southern hemisphere for this one....,"['New Zealand ', 'Cook Islands ', 'Australia ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",New Zealand 
18,Where in the world would you find this flag?,"['Peru ', 'Chile ', 'Paraguay ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer', 'wpvq-answer-true'], ['wpvq-answer']]",Chile 
19,"And finally, which country does this unique flag belong to?","['Samoa ', 'Faroe Islands ', 'Nepal ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer'], ['wpvq-answer', 'wpvq-answer-true']]",Nepal 
20,ROUND FIVE: Coffee. Where was the first Starbucks opened?,"['Toronto ', 'Seattle ', 'London ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer', 'wpvq-answer-true'], ['wpvq-answer']]",Seattle 
21,Which nation drinks the most coffee per person?,"['Finland ', 'UK ', 'Norway ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",Finland 
22,Coffee-drinking dates back to which century?,"['1400s ', '1800s ', '1600s ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",1400s 
23,The words 'cappuccino' and 'espresso' are from what language?,"['Spanish ', 'Italian ', 'French ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-false'], ['wpvq-answer', 'wpvq-answer-true'], ['wpvq-answer']]",Italian 
24,40% of the world's coffee is produced by....,"['Brazil ', 'Colombia ', 'Africa ']","[['wpvq-answer', 'wpvq-choose', 'wpvq-answer-true'], ['wpvq-answer'], ['wpvq-answer']]",Brazil 
